,Total uncertainty 1,standard deviation 1,mean 1,Total uncertainty 2,standard deviation 2,mean 2,Total uncertainty 3,standard deviation 3,mean 3,Total uncertainty 4,standard deviation 4,mean 4,Total uncertainty 5,standard deviation 5,mean 5,Total uncertainty 6,standard deviation 6,mean 6,Total uncertainty 7,standard deviation 7,mean 7,Total uncertainty 8,standard deviation 8,Total uncertainty 9,standard deviation 9,Total uncertainty 10,standard deviation 10,mean 10,Total uncertainty 11,standard deviation 11,mean 11,Total uncertainty 12,standard deviation 12,mean 12,Total uncertainty 13,standard deviation 13,mean 13,Total uncertainty 14,standard deviation 14,mean 14,Total uncertainty 15,standard deviation 15,mean 15,Total uncertainty 16,standard deviation 16,mean 16,Total uncertainty 17,standard deviation 17,mean 17,Total uncertainty 18,standard deviation 18,Total uncertainty 19,standard deviation 19,Total uncertainty 20,standard deviation 20,Total uncertainty 21,standard deviation 21,mean 21,Total uncertainty 22,standard deviation 22,mean 22,Total uncertainty 23,standard deviation 23,Most probable total value (tCO2e/collaborator),Value of sum of declaration and averages,Most important declared scopes,Probability E1>=E2,Probability E2>=E3,Probability E3>=E4,Probability E4>=E5,Probability good order on most important declared scopes,Uncertainty measure,Interval,Interval lenght,id
10,16.8,2.376193299120165,11.105,9.3,2.1145979525948126,0.1883333333333333,8.8,2.0886201189608764,0.0,31.5,2.6269720962916048,0.0,6.0,1.9002415406058841,0.0,7.6,2.0182817819387053,8.453333333333333,8.2,2.055001436297168,43.54333333333334,0.0,0.0,,,9.3,2.1145979525948126,3.105459247997264,8.9,2.0939551560095153,1.1611476910143386,12.9,2.262840227110101,5.390844687051973,11.4,2.2079157441041266,1.027243108400224,9.3,2.1145979525948126,0.571469667140634,0.9,0.7702771223902047,0.3567921507064364,11.4,2.2079157441041266,2.9915191887296144,12.9,2.262840227110101,22.704347253734305,0.0,0.0,0.0,0.0,0.0,0.0,9.3,2.1145979525948126,0.0,11.4,2.2079157441041266,1.8515461840767222,0.0,0.0,140.0,102.45036917885152,"[7, 1, 6, 2, 5]",0.6663,0.5404,0.9013,,0.22550000000000003,0.5536459612079551,"(195.0, 895.0)",700.0,154
11,16.8,2.376193299120165,1.750909090909091,9.3,2.1145979525948126,0.1990909090909091,8.8,2.0886201189608764,1.0154545454545454,31.5,2.6269720962916048,0.0209090909090909,6.0,1.9002415406058841,0.0,7.6,2.0182817819387053,2.2345454545454544,8.2,2.055001436297168,6.939860467177937,0.0,0.0,,,9.3,2.1145979525948126,3.105459247997264,8.9,2.0939551560095153,1.1611476910143386,12.9,2.262840227110101,5.390844687051973,11.4,2.2079157441041266,1.027243108400224,9.3,2.1145979525948126,0.571469667140634,0.9,0.7702771223902047,0.3567921507064364,11.4,2.2079157441041266,2.9915191887296144,12.9,2.262840227110101,22.704347253734305,0.0,0.0,0.0,0.0,0.0,0.0,9.3,2.1145979525948126,0.0,11.4,2.2079157441041266,1.8515461840767222,0.0,0.0,95.0,51.321138736938536,"[6, 1, 3, 2, 4]",0.5365,0.5608,0.7147,0.753,0.06910000000000016,0.3771834061135384,"(110.0, 451.25)",341.25,158
12,16.8,2.376193299120165,5.0594358745319,9.3,2.1145979525948126,0.572164771360841,8.8,2.0886201189608764,0.0,31.5,2.6269720962916048,0.1233723846497406,6.0,1.9002415406058841,0.0,7.6,2.0182817819387053,1.0473769196413234,8.2,2.055001436297168,6.939860467177937,0.0,0.0,,,9.3,2.1145979525948126,3.105459247997264,8.9,2.0939551560095153,1.1611476910143386,12.9,2.262840227110101,5.390844687051973,11.4,2.2079157441041266,1.027243108400224,9.3,2.1145979525948126,0.571469667140634,0.9,0.7702771223902047,0.3567921507064364,11.4,2.2079157441041266,2.9915191887296144,12.9,2.262840227110101,22.704347253734305,0.0,0.0,0.0,0.0,0.0,0.0,9.3,2.1145979525948126,0.0,11.4,2.2079157441041266,1.8515461840767222,0.0,0.0,90.0,52.90257959621326,"[1, 6, 2, 4, 5]",0.6993,0.585,0.6803,,0.18689999999999984,0.4950993377483441,"(115.0, 490.0)",375.0,175
13,16.8,2.376193299120165,10.053156146179402,9.3,2.1145979525948126,0.479829140958709,8.8,2.0886201189608764,0.0,31.5,2.6269720962916048,0.0925486473659231,6.0,1.9002415406058841,0.0,7.6,2.0182817819387053,1.0436639772187946,8.2,2.055001436297168,6.939860467177937,0.0,0.0,,,9.3,2.1145979525948126,3.105459247997264,8.9,2.0939551560095153,1.1611476910143386,12.9,2.262840227110101,5.390844687051973,11.4,2.2079157441041266,1.027243108400224,9.3,2.1145979525948126,0.571469667140634,0.9,0.7702771223902047,0.3567921507064364,11.4,2.2079157441041266,2.9915191887296144,12.9,2.262840227110101,22.704347253734305,0.0,0.0,0.0,0.0,0.0,0.0,9.3,2.1145979525948126,0.0,11.4,2.2079157441041266,1.8515461840767222,0.0,0.0,85.0,57.76942755775228,"[1, 6, 2, 4, 5]",0.7671,0.5972,0.6910000000000001,,0.23070000000000013,0.4681412337662341,"(125.0, 565.0)",440.0,176
14,16.8,2.376193299120165,12.33165137614679,9.3,2.1145979525948126,0.3903669724770642,8.8,2.0886201189608764,0.0,31.5,2.6269720962916048,0.05,6.0,1.9002415406058841,0.0,7.6,2.0182817819387053,1.034862385321101,8.2,2.055001436297168,6.939860467177937,0.0,0.0,,,9.3,2.1145979525948126,3.105459247997264,8.9,2.0939551560095153,1.1611476910143386,12.9,2.262840227110101,5.390844687051973,11.4,2.2079157441041266,1.027243108400224,9.3,2.1145979525948126,0.571469667140634,0.9,0.7702771223902047,0.3567921507064364,11.4,2.2079157441041266,2.9915191887296144,12.9,2.262840227110101,22.704347253734305,0.0,0.0,0.0,0.0,0.0,0.0,9.3,2.1145979525948126,0.0,11.4,2.2079157441041266,1.8515461840767222,0.0,0.0,70.0,59.90711037997441,"[1, 6, 2, 4, 5]",0.7879,0.6301,0.7224999999999999,,0.27349999999999974,0.46442519952453687,"(125.0, 565.0)",440.0,179
15,16.8,2.376193299120165,4.598870056497175,9.3,2.1145979525948126,0.3709981167608286,8.8,2.0886201189608764,0.0,31.5,2.6269720962916048,0.0,6.0,1.9002415406058841,0.0,7.6,2.0182817819387053,2.15819209039548,8.2,2.055001436297168,6.939860467177937,0.0,0.0,,,9.3,2.1145979525948126,3.105459247997264,8.9,2.0939551560095153,1.1611476910143386,12.9,2.262840227110101,5.390844687051973,11.4,2.2079157441041266,1.027243108400224,9.3,2.1145979525948126,0.571469667140634,0.9,0.7702771223902047,0.3567921507064364,11.4,2.2079157441041266,2.9915191887296144,12.9,2.262840227110101,22.704347253734305,0.0,0.0,0.0,0.0,0.0,0.0,9.3,2.1145979525948126,0.0,11.4,2.2079157441041266,1.8515461840767222,0.0,0.0,70.0,53.228289909682935,"[1, 6, 2, 5, 4]",0.5931,0.7215,,,0.373,0.6556512568113905,"(115.0, 500.0)",385.0,180
16,16.8,2.376193299120165,0.0066445182724252,9.3,2.1145979525948126,11.079734219269104,8.8,2.0886201189608764,0.0008305647840531,31.5,2.6269720962916048,0.0,6.0,1.9002415406058841,0.0,7.6,2.0182817819387053,0.2167774086378737,8.2,2.055001436297168,6.939860467177937,0.0,0.0,,,9.3,2.1145979525948126,3.105459247997264,8.9,2.0939551560095153,1.1611476910143386,12.9,2.262840227110101,5.390844687051973,11.4,2.2079157441041266,1.027243108400224,9.3,2.1145979525948126,0.571469667140634,0.9,0.7702771223902047,0.3567921507064364,11.4,2.2079157441041266,2.9915191887296144,12.9,2.262840227110101,22.704347253734305,0.0,0.0,0.0,0.0,0.0,0.0,9.3,2.1145979525948126,0.0,11.4,2.2079157441041266,1.8515461840767222,0.0,0.0,90.0,57.404216356992904,"[2, 6, 1, 3, 5]",0.9102,0.8721,0.7475,,0.5581,0.6347094279540544,"(110.0, 510.0)",400.0,187
17,16.8,2.376193299120165,9.26,9.3,2.1145979525948126,1.7142857142857142,8.8,2.0886201189608764,1206.9214285714286,31.5,2.6269720962916048,0.0,6.0,1.9002415406058841,0.0,7.6,2.0182817819387053,9.684285714285714,8.2,2.055001436297168,6.939860467177937,0.0,0.0,,,9.3,2.1145979525948126,3.105459247997264,8.9,2.0939551560095153,1.1611476910143386,12.9,2.262840227110101,5.390844687051973,11.4,2.2079157441041266,1.027243108400224,9.3,2.1145979525948126,0.571469667140634,0.9,0.7702771223902047,0.3567921507064364,11.4,2.2079157441041266,2.9915191887296144,12.9,2.262840227110101,22.704347253734305,0.0,0.0,0.0,0.0,0.0,0.0,9.3,2.1145979525948126,0.0,11.4,2.2079157441041266,1.8515461840767222,0.0,0.0,490.0,1273.6802296460298,"[3, 6, 1, 2, 5]",0.9511000000000001,0.506,0.7034,,0.24490000000000023,0.5961538461538466,"(745.0, 5975.0)",5230.0,206
18,16.8,2.376193299120165,0.3858048172757475,9.3,2.1145979525948126,0.6663338870431893,8.8,2.0886201189608764,0.0,31.5,2.6269720962916048,0.0001661129568106,6.0,1.9002415406058841,0.0,7.6,2.0182817819387053,0.9718671096345516,8.2,2.055001436297168,6.939860467177937,0.0,0.0,,,9.3,2.1145979525948126,3.105459247997264,8.9,2.0939551560095153,1.1611476910143386,12.9,2.262840227110101,5.390844687051973,11.4,2.2079157441041266,1.027243108400224,9.3,2.1145979525948126,0.571469667140634,0.9,0.7702771223902047,0.3567921507064364,11.4,2.2079157441041266,2.9915191887296144,12.9,2.262840227110101,22.704347253734305,0.0,0.0,0.0,0.0,0.0,0.0,9.3,2.1145979525948126,0.0,11.4,2.2079157441041266,1.8515461840767222,0.0,0.0,70.0,48.124401572939746,"[6, 2, 1, 4, 5]",0.5470999999999999,0.5732999999999999,0.9846,,0.22910000000000008,0.7053571428571431,"(95.0, 415.0)",320.0,209
19,16.8,2.376193299120165,1.203238866396761,9.3,2.1145979525948126,0.4696356275303643,8.8,2.0886201189608764,0.0,31.5,2.6269720962916048,0.0,6.0,1.9002415406058841,0.0,7.6,2.0182817819387053,0.302834008097166,8.2,2.055001436297168,0.0,0.0,0.0,,,9.3,2.1145979525948126,2.616194331983805,8.9,2.0939551560095153,0.8194331983805668,12.9,2.262840227110101,1.1902834008097165,11.4,2.2079157441041266,0.0,9.3,2.1145979525948126,0.0356275303643724,0.9,0.7702771223902047,0.0,11.4,2.2079157441041266,0.0291497975708502,12.9,2.262840227110101,3.909311740890688,0.0,0.0,0.0,0.0,0.0,0.0,9.3,2.1145979525948126,0.0,11.4,2.2079157441041266,2.640485829959514,0.0,0.0,15.0,13.216194331983806,"[17, 22, 10, 1, 12]",0.5421,0.5031,0.5985,0.5069,0.01749999999999996,0.5485893416927904,"(25.0, 125.0)",100.0,211
