,Emission source,Description,Activity data 1,Activity data 2,Factor 1,Factor 2,Factor 3,Final uncertainty Activity data 1,Final uncertainty Activity data 2,Final uncertainty Factor 1,Final uncertainty Factor 2,Final uncertainty Factor 3,Total uncertainty,Available
34,12,Freight expenses,freight price,nan,freight monetary emission factor,nan,nan,0.0,,8.4,,,9.3,True
35,17,Freight expenses,freight price,nan,freight monetary emission factor,nan,nan,0.0,,8.4,,,9.3,True
36,13,Agglomerated travel expenses,travel price,nan,travel monetary emission factor,nan,nan,0.0,,10.5,,,11.4,True
37,16,Agglomerated travel expenses,travel price,nan,travel monetary emission factor,nan,nan,0.0,,10.5,,,11.4,True
38,22,Travel expenses,travel price,nan,travel monetary emission factor,nan,nan,0.0,,10.5,,,11.4,True
39,15,Invested amount,invested amount,nan,monetary emission factor investment,nan,nan,0.3,,,,,0.9,True
40,12,Freight with distance travelled and mass transported,distance travelled,mass transported,freight emission factor,nan,nan,1.1,1.1,1.8,,,12.9,True
41,17,Freight with distance travelled and mass transported,distance travelled,mass transported,freight emission factor,nan,nan,1.1,1.1,1.8,,,12.9,True
42,1,Time of use of a machine- power generated- and average consumption,time of use of machine,nan,average time consumption,fuel emission factor,nan,1.1,,3.4,0.8,,16.8,True
43,3,Production activity and chemical ratio,production activity data,nan,chemical ratio,global warming potential,nan,1.1,,0.8,1.3,,8.8,False
44,4,Total mass of gaz- extrapolated leakage rate- measured gaz,total amount of gaz,nan,leakage rate,global warming potential,nan,1.1,,1.5,1.3,,12.4,True
45,9a,Good computed weight,good unit,nan,mass per product unit,product mass emission factor,nan,1.1,,0.3,2.2,,8.9,True
46,10,Asset computed weight,asset quantity,nan,mass per asset unit,asset mass emission factor,nan,1.1,,0.3,2.2,,8.9,True
47,11,Waste computed weight,waste unit,nan,mass per waste unit,waste disposal mass emission factor,nan,1.1,,0.3,2.2,,8.9,True
48,4,Air conditionned surface-  average gaz consumption per square meter- average leakage,air conditionned surface,nan,average gaz consumption per surface,leakage rate,global warming potential,1.1,,1.5,1.5,1.3,31.5,True
