,Emission source,Description,Activity data 1,Activity data 2,Factor 1,Factor 2,Factor 3,Default base uncertainty Activity data 1,Reliability Activity data 1,Geographical completeness Activity data 1,Time completeness Activity data 1,Temporal correlation Activity data 1,Geographical correlation Activity data 1,Product correlation Activity data 1,Final uncertainty Activity data 1,Default base uncertainty Activity data 2,Reliability Activity data 2,Geographical completeness Activity data 2,Time completeness Activity data 2,Temporal correlation Activity data 2,Geographical correlation Activity data 2,Product correlation Activity data 2,Final uncertainty Activity data 2,Default base uncertainty Factor 1,Reliability Factor 1,Temporal correlation Factor 1,Geographical correlation Factor 1,Product correlation Factor 1,Final uncertainty Factor 1,Default base uncertainty Factor 2,Reliability Factor 2,Temporal correlation Factor 2,Geographical correlation Factor 2,Product correlation Factor 2,Final uncertainty Factor 2,Default base uncertainty Factor 3,Reliability Factor 3,Temporal correlation Factor 3,Geographical correlation Factor 3,Product correlation Factor 3,Final uncertainty Factor 3
0,1,Fuel consumption,fuel consumption,nan,fuel emission factor,nan,nan,0.05,0.56,0.9,0.79,0.05,0.1,0.84,11.796836541206034,,,,,,,,,0.05,0.8,0.18,0.1,0.84,4.401762953641988,,,,,,,,,,,,
1,2,Fuel consumption,fuel consumption,nan,fuel emission factor,nan,nan,0.05,0.56,0.9,0.79,0.05,0.1,0.84,11.796836541206034,,,,,,,,,0.05,0.8,0.18,0.1,0.84,4.401762953641988,,,,,,,,,,,,
2,2,Time of use of a machine- power generated- and average consumption,time of use of machine,nan,average time consumption,nan,nan,0.05,0.56,0.9,0.79,0.05,0.1,0.84,11.796836541206034,,,,,,,,,1.2,0.8,0.18,0.1,0.84,9.404731899374264,,,,,,,,,,,,
3,1,Fuel bills,fuel bills,nan,fuel monetary emission factor,nan,nan,0.0,0.56,0.9,0.79,0.05,0.1,0.84,11.230944148514864,,,,,,,,,2.2,0.8,0.18,0.1,0.84,13.720329194353111,,,,,,,,,,,,
4,2,Fuel bills,fuel bills,nan,mobile fuel monetary emission factor,nan,nan,0.0,0.56,0.9,0.79,0.05,0.1,0.84,11.230944148514864,,,,,,,,,2.2,0.8,0.18,0.1,0.84,13.720329194353111,,,,,,,,,,,,
5,2,Kilometers driven,kilometers driven,nan,mobile fuel emission factor,nan,nan,0.05,0.56,0.9,0.79,0.05,0.1,0.84,11.796836541206034,,,,,,,,,0.05,0.8,0.18,0.1,0.84,4.401762953641988,,,,,,,,,,,,
6,3,Direct emissions measurement,direct emission measurement,nan,global warming potential,nan,nan,0.05,0.56,0.9,0.79,0.05,0.1,0.84,11.796836541206034,,,,,,,,,0.4,0.8,0.18,0.1,0.84,5.93490871970319,,,,,,,,,,,,
7,4,Leaked amount (volume or mass) and measured gaz,leaked amount,nan,global warming potential,nan,nan,0.05,0.56,0.9,0.79,0.05,0.1,0.84,11.796836541206034,,,,,,,,,0.4,0.8,0.18,0.1,0.84,5.93490871970319,,,,,,,,,,,,
8,5,Switch type and total surface,total surface footprint,nan,artificilisation emission factor,nan,nan,0.05,0.56,0.9,0.79,0.05,0.1,0.84,11.796836541206034,,,,,,,,,0.7,0.8,0.18,0.1,0.84,7.239520186751649,,,,,,,,,,,,
9,6,Electricity consumption,electricity consumption,nan,electricity emission factor,nan,nan,0.05,0.56,0.9,0.79,0.05,0.1,0.84,11.796836541206034,,,,,,,,,0.1,0.8,0.18,0.1,0.84,4.621930930333876,,,,,,,,,,,,
10,6,Electricity bills ,electricity bills,nan,electricity monetary emission factor,nan,nan,0.0,0.56,0.9,0.79,0.05,0.1,0.84,11.230944148514864,,,,,,,,,2.2,0.8,0.18,0.1,0.84,13.720329194353111,,,,,,,,,,,,
11,7,Energy consumption,energy consumption,nan,energy emission factor,nan,nan,0.05,0.56,0.9,0.79,0.05,0.1,0.84,11.796836541206034,,,,,,,,,0.3,0.8,0.18,0.1,0.84,5.498474238922416,,,,,,,,,,,,
